freq=1000.0	volt=+1.00000E+00	aper=LONG,+1	mode=CPD
time	no.	U[V]	I[uA]	C[pF]	Rlcr
1561039180.2283494	0	-100.0	0.030603550000000004	5.843579999999999	0.0601118
1561039181.3160014	0	-100.0	-0.00377663	5.88266	0.0609996
1561039182.3607728	0	-100.0	-0.002594567	5.91634	0.0662716
1561039186.1703012	1	-95.0	-0.0007563445	5.86218	0.066683
1561039187.206893	1	-95.0	-0.003257522	5.87743	0.066925
1561039188.2410464	1	-95.0	-0.004772104	5.92312	0.0621084
1561039192.041007	2	-90.0	-0.03584916	5.83282	0.0881737
1561039193.1242955	2	-90.0	-0.04208142	5.89659	0.106752
1561039194.1580634	2	-90.0	-0.07299055	5.88577	0.119448
1561039197.9853997	3	-85.0	-0.0903192	5.7891900000000005	0.118716
1561039199.1862361	3	-85.0	-0.08198196	5.8461799999999995	0.128436
1561039200.2513278	3	-85.0	-0.09960006	5.88649	0.140252
1561039204.3109157	4	-80.0	-0.17333389999999999	5.80482	0.161716
1561039205.3738873	4	-80.0	-0.1530429	5.85776	0.19181
1561039206.432467	4	-80.0	-0.1170013	5.82263	0.1534
1561039210.2838027	5	-75.0	-0.1154707	5.84581	0.158773
1561039211.36632	5	-75.0	-0.1166349	5.8905199999999995	0.137764
1561039212.4454787	5	-75.0	-0.06207708000000001	5.850499999999999	0.126569
1561039216.2864838	6	-70.0	-0.08462882000000001	5.8346	0.149869
1561039217.3663986	6	-70.0	-0.104903	5.79042	0.183754
1561039218.4155495	6	-70.0	-0.175691	5.86139	0.213453
1561039222.2009614	7	-65.0	-0.1450378	5.86202	0.172014
1561039223.3004963	7	-65.0	-0.1538315	5.89255	0.247543
1561039224.3503973	7	-65.0	-0.1684715	5.85058	0.232775
1561039228.2006395	8	-60.0	-0.13766260000000002	5.80144	0.213758
1561039229.2858112	8	-60.0	-0.1574989	5.868270000000001	0.184335
1561039230.3465981	8	-60.0	-0.1463238	5.850499999999999	0.192689
1561039234.430859	9	-55.0	-0.1099859	5.85184	0.174617
1561039235.5423822	9	-55.0	-0.09314534	5.79924	0.166058
1561039236.6467586	9	-55.0	-0.08215135	5.82532	0.154015
1561039240.497992	10	-50.0	-0.06199522	5.84295	0.131079
1561039241.5890732	10	-50.0	-0.05157287	5.799370000000001	0.125217
1561039242.650903	10	-50.0	-0.06516983999999999	5.86001	0.143411
1561039246.4874353	11	-45.0	-0.04142523	5.88983	0.119206
1561039247.6004152	11	-45.0	-0.03871918	5.8870000000000005	0.115513
1561039248.661618	11	-45.0	-0.03351056	5.87037	0.113354
1561039252.5434692	12	-40.0	-0.01381787	5.83153	0.0968836
1561039253.657879	12	-40.0	-0.01791649	5.89232	0.0964224
1561039254.7289126	12	-40.0	-0.01780192	5.86914	0.0915166
1561039258.5934381	13	-35.0	-0.008749216	5.9197299999999995	0.0719566
1561039259.6867301	13	-35.0	-0.01073966	5.84574	0.0859235
1561039260.7682233	13	-35.0	-0.007410176	5.88283	0.0875984
1561039264.6469767	14	-30.0	-0.003070474	5.88554	0.0677654
1561039265.7695987	14	-30.0	-0.006560819999999999	5.84323	0.0728012
1561039266.857168	14	-30.0	-0.005604645	5.89792	0.0690064
1561039270.7338278	15	-25.0	-0.0027852880000000003	5.8561	0.0658556
1561039271.865658	15	-25.0	-0.002222642	5.907120000000001	0.0591319
1561039272.9787135	15	-25.0	-0.002208191	5.912240000000001	0.0634383
1561039276.8656974	16	-20.0	-4.796967e-05	5.88347	0.0646905
1561039278.0028048	16	-20.0	-0.001356611	5.866680000000001	0.0637868
1561039279.1680102	16	-20.0	0.000215756	5.850210000000001	0.0624834
1561039283.142026	17	-15.0	0.0005225996	5.84017	0.0535874
1561039284.3042936	17	-15.0	0.0004665214	5.8668	0.0532728
1561039285.4526877	17	-15.0	0.001313771	5.91435	0.0623246
1561039289.4139526	18	-10.0	0.002204293	5.88917	0.0592889
1561039290.600025	18	-10.0	-0.0008273352	5.84382	0.0628481
1561039291.7319279	18	-10.0	0.001141065	5.84903	0.0617447
1561039295.7112198	19	-5.0	0.001808381	5.8725700000000005	0.0519816
1561039296.8570116	19	-5.0	0.0010107500000000001	5.867389999999999	0.0620191
1561039297.9929717	19	-5.0	0.0008067740999999999	5.88786	0.0539233
1561039301.975778	20	0.0	0.00048437269999999997	5.8679	0.0639347
1561039303.1463156	20	0.0	0.001899015	5.89933	0.0597124
1561039304.2944474	20	0.0	0.00029366150000000003	5.87219	0.0597932
