U[V]	Cmean[pF]	Csem[pF]
0.0	39.41353	0.007690427671968885
-0.5	38.65578000000001	0.004202004812520127
-1.0	36.39412	0.005291981355472659
-1.5	33.41162	0.006086976990994001
-2.0	31.21522	0.004116735492002504
-2.5	29.476550000000003	0.005155089179097143
-3.0	28.056919999999998	0.0036182193287735338
-3.5	26.86313	0.004391179289844309
-4.0	25.78558	0.006481285880646563
-4.5	24.898220000000002	0.004030268808239395
-5.0	24.10917	0.003665273977935878
-5.5	23.40045	0.004635569004987316
-6.0	22.78214	0.006389126179167925
-6.5	22.20749	0.004623333333333542
-7.0	21.6823	0.005074139226399673
-7.5	21.205489999999998	0.004218595079460311
-8.0	20.74509	0.004401021346106963
-8.5	20.3444	0.004945435606024521
